Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Monitoring energy (nm),Log10 Decay time ( log10[ns]),Formula
13,8,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,138.43,64,0.63,63.37,279.321937,127.992,1.51964,126.47236,1130.05,480,1.85,478.15,35.53,27.52,0,27.52,64,48,0.02,47.98,143.3280623,108.944432,0.05670385,108.8877282,298,354,425,2.86332286,Ca0.99Al2Si2O8Eu0.01
12.95,8,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,137.43,64,0.63,63.37,277.318037,127.992,1.51964,126.47236,1121.05,480,1.85,478.15,35.48,27.52,0,27.52,63.9,48,0.02,47.98,143.0224045,108.944432,0.05670385,108.8877282,298,354,425,2.86332286,Ca0.94Al2Si2O8Eu0.01
13.28,8,0.04,7.96,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,138.52,64,2.52,61.48,282.1182146,127.992,6.07856,121.91344,1171,480,7.4,472.6,36.202,27.52,0,27.52,65.76,48,0.08,47.92,154.8674887,108.944432,0.2268154,108.7176166,298,378,427,2.170261715,Mg3P2O8Eu0.04Mn0.24
13.19,8,0.04,7.96,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,136.27,64,2.52,61.48,277.1737906,127.992,6.07856,121.91344,1158.4,480,7.4,472.6,36.0625,27.52,0,27.52,65.13,48,0.08,47.92,154.1984271,108.944432,0.2268154,108.7176166,298,378,427,2.322219295,Mg3P2O8Eu0.04Mn0.15
13.13,8,0.04,7.96,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,134.77,64,2.25,61.75,273.877508,127.992,4.94442396,123.047576,1150,480,7.4,472.6,35.9695,27.52,0,27.52,64.71,48,0.08,47.92,153.752386,108.944432,0.2268154,108.7176166,298,378,427,2.472756449,Mg3P2O8Eu0.04Mn0.09
13.055,8,0.015,7.985,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,132.895,64,0.375,63.625,269.7571547,127.992,0.82407066,127.1679293,1139.5,480,2.1,477.9,35.85325,27.52,0,27.52,64.185,48,0.08,47.92,153.1948347,108.944432,0.11151027,108.8329217,298,378,427,2.606381365,Mg3P2O8Eu0.04Mn0.015
13.04,8,0.04,7.96,98,63,8,55,223.241762,151.964,15.999,135.965,495,185,60,125,6.94,3.44,0,3.44,15,6,2,4,37.42136,13.618054,5.670385,7.947669,132.52,64,2.52,61.48,268.933084,127.992,6.07856,121.91344,1137.4,480,7.4,472.6,35.83,27.52,0,27.52,64.08,48,0.08,47.92,153.0833244,108.944432,0.2268154,108.7176166,298,378,427,2.880813592,Mg3P2O8Eu0.04
14.03,8,0.03,7.97,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,209.89,64,1.89,62.11,450.100044,137.327,4.55892,132.76808,1520.55,480,5.55,474.45,35.43,27.52,0,27.52,64.06,48,0.06,47.94,150.0940618,108.944432,0.17011155,108.7743205,298,350,430,2.752663711,K2BaCaP2O8Eu0.03
2,1,0.005,0.995,120,63,19,44,278.6823,151.964,39.0983,112.8657,605,220,185,35,1.77,0.95,0,0.95,5,2,1,1,15.70591574,5.6948672,4.34066354,1.35420366,57.125,37.81,0.315,37.495,127.04002,87.1819,0.75982,86.42208,419.925,220,0.925,219.075,1.76525,0.94525,0,0.94525,3,1.99,0.01,1.98,10.03540833,5.666392864,0.028351925,5.638040939,298,365,430,2.974971994,KSr0.995Eu0.005
6,4,0.2,3.8,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,132.8,74,2.2,71.8,306.8735539,183.84,4.597953856,179.2420461,556,240,36,204,16.246,13.76,0,13.76,31.8,24,0.2,23.8,68.16603146,54.472216,1.02781534,53.44440066,298,247,430,3.636487896,Na0.2Ca0.6WO4Eu0.2
