Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.43,64,0.63,63.37,282.2939458,127.992,1.51964,126.47236,1122.05,480,1.85,478.15,35.64,27.52,0,27.52,65,48,0.02,47.98,143.5922349,108.944432,0.05670385,108.8877282,298,425,354,Ca0.79Al2Si2O8Eu0.01Mn0.2
13,8,0.01,7.99,143,63,8,55,318.0455825,151.964,15.999,135.965,800,185,60,125,9.5,3.44,0,3.44,24,7,2,5,46.9730636,13.618054,5.670385,7.947669,139.68,64,0.63,63.37,283.036948,127.992,1.51964,126.47236,1120.05,480,1.85,478.15,35.6675,27.52,0,27.52,65.25,48,0.02,47.98,143.658278,108.944432,0.05670385,108.8877282,298,425,354,Ca0.74Al2Si2O8Eu0.01Mn0.25
12.95,8,0.01,7.99,118,63,8,55,263.1075385,151.964,15.999,135.965,660,185,60,125,7.95,3.44,0,3.44,17,6,2,4,39.5390456,13.618054,5.670385,7.947669,137.43,64,0.63,63.37,277.318037,127.992,1.51964,126.47236,1121.05,480,1.85,478.15,35.48,27.52,0,27.52,63.9,48,0.02,47.98,143.0224045,108.944432,0.05670385,108.8877282,298,425,354,Ca0.94Al2Si2O8Eu0.01
13.04,8,0.04,7.96,98,63,8,55,223.241762,151.964,15.999,135.965,495,185,60,125,6.94,3.44,0,3.44,15,6,2,4,37.42136,13.618054,5.670385,7.947669,132.52,64,2.52,61.48,268.933084,127.992,6.07856,121.91344,1137.4,480,7.4,472.6,35.83,27.52,0,27.52,64.08,48,0.08,47.92,153.0833244,108.944432,0.2268154,108.7176166,298,427,378,Mg3P2O8Eu0.04
13.1,8,0.04,7.96,123,63,8,55,278.179806,151.964,15.999,135.965,635,185,60,125,8.49,3.44,0,3.44,22,7,2,5,44.855378,13.618054,5.670385,7.947669,134.02,64,1.5,62.5,272.2293666,127.992,3.29628264,124.6957174,1145.8,480,7.4,472.6,35.923,27.52,0,27.52,64.5,48,0.08,47.92,153.5293655,108.944432,0.2268154,108.7176166,298,427,378,Mg3P2O8Eu0.04Mn0.06
6,4,0.01,3.99,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,126.34,74,0.11,73.89,288.8619777,183.84,0.229897693,183.6101023,555.05,240,1.8,238.2,16.4493,13.76,0,13.76,31.99,24,0.01,23.99,68.43523271,54.472216,0.051390767,54.42082523,298,430,247,Na0.01Ca0.98WO4Eu0.01
6,4,0.02,3.98,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,126.68,74,0.22,73.78,289.8099554,183.84,0.459795386,183.3802046,555.1,240,3.6,236.4,16.4386,13.76,0,13.76,31.98,24,0.02,23.98,68.42106423,54.472216,0.102781534,54.36943447,298,430,247,Na0.02Ca0.96WO4Eu0.02
6,4,0.03,3.97,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.02,74,0.33,73.67,290.7579331,183.84,0.689693078,183.1503069,555.15,240,5.4,234.6,16.4279,13.76,0,13.76,31.97,24,0.03,23.97,68.40689574,54.472216,0.154172301,54.3180437,298,430,247,Na0.03Ca0.94WO4Eu0.03
6,4,0.04,3.96,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.36,74,0.44,73.56,291.7059108,183.84,0.919590771,182.9204092,555.2,240,7.2,232.8,16.4172,13.76,0,13.76,31.96,24,0.04,23.96,68.39272725,54.472216,0.205563068,54.26665293,298,430,247,Na0.04Ca0.92WO4Eu0.04
6,4,0.05,3.95,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,127.7,74,0.55,73.45,292.6538885,183.84,1.149488464,182.6905115,555.25,240,9,231,16.4065,13.76,0,13.76,31.95,24,0.05,23.95,68.37855877,54.472216,0.256953835,54.21526217,298,430,247,Na0.05Ca0.9WO4Eu0.05
6,4,0.1,3.9,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,129.4,74,1.1,72.9,297.3937769,183.84,2.298976928,181.5410231,555.5,240,18,222,16.353,13.76,0,13.76,31.9,24,0.1,23.9,68.30771633,54.472216,0.51390767,53.95830833,298,430,247,Na0.1Ca0.8WO4Eu0.1
6,4,0.2,3.8,176,74,8,66,414.8707693,183.84,15.999,167.841,740,185,60,125,7.07,3.44,0,3.44,17,6,1,5,38.4047009,13.618054,5.1390767,8.4789773,132.8,74,2.2,71.8,306.8735539,183.84,4.597953856,179.2420461,556,240,36,204,16.246,13.76,0,13.76,31.8,24,0.2,23.8,68.16603146,54.472216,1.02781534,53.44440066,298,430,247,Na0.2Ca0.6WO4Eu0.2
6,4,0.5,3.5,156,74,8,66,374.7927693,183.84,15.999,167.841,560,185,60,125,6.07,3.44,0,3.44,15,6,1,5,32.2915457,13.618054,5.1390767,8.4789773,143,74,5.5,68.5,335.3128846,183.84,11.49488464,172.3451154,557.5,240,90,150,15.925,13.76,0,13.76,31.5,24,0.5,23.5,67.74097685,54.472216,2.56953835,51.90267765,298,430,247,Na0.5WO4Eu0.5
28.04,16,0.04,15.96,117,63,8,55,260.431,151.964,15.999,135.965,685,185,60,125,7.65,3.44,0,3.44,16,6,2,4,41.1995122,13.618054,5.670385,7.947669,338.52,140,2.52,137.48,679.25356,280.546,6.07856,274.46744,2817.4,1260,7.4,1252.6,70.95,55.04,0,55.04,128.08,96,0.08,95.92,301.1607328,217.888864,0.2268154,217.6620486,298,440,365,Ca7MgSi4O16Eu0.04
