Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
18.73,12,0.09,11.91,186,83,8,75,449.5734,208.9804,15.999,192.9814,530,185,60,125,7.35,3.44,0,3.44,17,6,2,4,34.47339,13.618054,5.670385,7.947669,499.79,302.12,5.67,296.45,1184.243416,760.688656,13.67676,747.011896,1694.05,720,16.65,703.35,54.226,41.28,0,41.28,102.38,72,0.18,71.82,214.1445659,163.416648,0.51033465,162.9063134,298,612,394,Bi3.64Ge3O12Eu0.09
9.05,6,0.05,5.95,142,63,8,55,329.801,151.964,15.999,135.965,570,185,60,125,6.49,3.44,0,3.44,15,6,2,4,34.0099832,13.618054,5.670385,7.947669,173.15,102,3.15,98.85,387.1902,243.52,7.5982,235.9218,839.25,360,9.25,350.75,25.74,20.64,0,20.64,48.1,36,0.1,35.9,105.3217765,81.708324,0.28351925,81.42480475,298,612,394,CaSb2O6Eu0.05
9.09,6,0.04,5.96,225,83,8,75,538.7814,208.9804,15.999,192.9814,730,185,60,125,8.39,3.44,0,3.44,20,6,2,4,41.2954992,13.618054,5.670385,7.947669,176.47,102,3.15,98.85,395.549416,243.52,7.5982,235.9218,845.65,360,6.4,353.6,25.816,20.64,0,20.64,48.3,36,0.1,35.9,105.6131971,81.708324,0.28351925,81.42480475,298,612,394,CaSb2O6Eu0.05Bi0.04
92,56,0.2,55.8,192,83,3,80,454.935162,208.9804,6.94,202.0404,830,185,60,125,9.51,3.44,0,3.44,21,6,1,5,48.56551096,13.618054,5.391714761,8.226339239,1106,448,9,439,2269.377788,895.944,20.82,875.124,8600,3360,37,3323,245.76,192.64,0,192.64,449.4,336,0.4,335.6,1042.599056,762.611024,1.134077,761.476947,298,612,394,Ca18Li3Bi0.8P14O56Eu0.2
92,56,0.4,55.6,192,83,3,80,454.935162,208.9804,6.94,202.0404,830,185,60,125,9.51,3.44,0,3.44,21,6,1,5,48.56551096,13.618054,5.391714761,8.226339239,1102,448,9,439,2257.974508,895.944,20.82,875.124,8605,3360,74,3286,245.38,192.64,0,192.64,448.8,336,0.8,335.2,1042.276029,762.611024,2.268154,760.34287,298,612,394,Ca18Li3Bi0.6P14O56Eu0.4
92,56,0.4,55.6,192,83,3,80,454.935162,208.9804,6.94,202.0404,830,185,60,125,9.51,3.44,0,3.44,21,6,1,5,48.56551096,13.618054,5.391714761,8.226339239,1098,448,9,439,2246.571228,895.944,20.82,875.124,8610,3360,64,3296,245,192.64,0,192.64,448.2,336,1.2,334.8,1041.953003,762.611024,2.9142064,759.6968176,298,612,394,Ca18Li3Bi0.4P14O56Eu0.6
92,56,0.2,55.8,192,83,3,80,454.935162,208.9804,6.94,202.0404,830,185,60,125,9.51,3.44,0,3.44,21,6,1,5,48.56551096,13.618054,5.391714761,8.226339239,1094,448,9,439,2235.167948,895.944,20.82,875.124,8615,3360,32,3328,244.62,192.64,0,192.64,447.6,336,1,335,1041.629977,762.611024,1.4571032,761.1539208,298,612,394,Ca18Li3Bi0.2P14O56Eu0.8
92,56,1,55,109,63,3,60,245.954762,151.964,6.94,145.024,670,185,60,125,7.61,3.44,0,3.44,16,6,1,5,41.27999496,13.618054,5.391714761,8.226339239,1090,448,9,439,2223.764668,895.944,20.82,875.124,8620,3360,185,3175,244.24,192.64,0,192.64,447,336,2,334,1041.306951,762.611024,5.670385,756.940639,298,612,394,Ca18Li3P14O56Eu1
17.03,10,0.03,9.97,96,63,5,58,218.851,151.964,10.81,141.154,510,185,60,125,6.48,3.44,0,3.44,13,6,2,4,33.6996132,13.618054,5.670385,7.947669,131.89,80,1.89,78.11,269.48692,159.99,4.55892,155.43108,1295.55,600,5.55,594.45,47.64,34.4,0,34.4,80.06,60,0.06,59.94,192.2519208,136.18054,0.17011155,136.0104285,300,612,393,CaB6O10Eu0.03
19,12,0.005,11.995,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,337.9,114,0.315,113.685,756.464604,262.86,0.75982,262.10018,1780.125,720,0.925,719.075,52.5905,41.28,0,41.28,97.985,72,0.01,71.99,219.2387479,163.416648,0.028351925,163.3882961,298,612,392,Sr3Bi0.995P3O12Eu0.005
19,12,0.01,11.99,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,337.8,114,0.63,113.37,756.179522,262.86,1.51964,261.34036,1780.25,720,1.85,718.15,52.581,41.28,0,41.28,97.97,72,0.02,71.98,219.2306723,163.416648,0.05670385,163.3599442,298,612,392,Sr3Bi0.99P3O12Eu0.01
19,12,0.03,11.97,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,337.4,114,1.89,112.11,755.039194,262.86,4.55892,258.30108,1780.75,720,5.55,714.45,52.543,41.28,0,41.28,97.91,72,0.06,71.94,219.1983697,163.416648,0.17011155,163.2465365,298,612,392,Sr3Bi0.97P3O12Eu0.03
19,12,0.05,11.95,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,337,114,3.15,110.85,753.898866,262.86,7.5982,255.2618,1781.25,720,9.25,710.75,52.505,41.28,0,41.28,97.85,72,0.1,71.9,219.1660671,163.416648,0.28351925,163.1331288,298,612,392,Sr3Bi0.95P3O12Eu0.05
19,12,0.07,11.93,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,336.6,114,4.41,109.59,752.758538,262.86,10.63748,252.22252,1781.75,720,12.95,707.05,52.467,41.28,0,41.28,97.79,72,0.14,71.86,219.1337644,163.416648,0.39692695,163.0197211,298,612,392,Sr3Bi0.93P3O12Eu0.07
19,12,0.1,11.9,207,83,8,75,495.537162,208.9804,15.999,192.9814,705,200,60,140,8.48,3.44,0,3.44,20,6,2,4,42.7555082,13.618054,5.670385,7.947669,336,114,6.3,107.7,751.048046,262.86,15.1964,247.6636,1782.5,720,18.5,701.5,52.41,41.28,0,41.28,97.7,72,0.2,71.8,219.0853105,163.416648,0.5670385,162.8496095,298,612,392,Sr3Bi0.9P3O12Eu0.1
7,4,0.01,3.99,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,139.88,54.88,0.63,54.25,317.39234,134.58046,1.51964,133.06082,789.9,240,1.85,238.15,17.6504,13.76,0,13.76,31.99,24,0.02,23.98,74.34193585,54.472216,0.05670385,54.41551215,298,612,392,Rb1.01Ba0.98PO4Eu0.01
7,4,0.03,3.97,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,139.64,52.64,1.89,50.75,316.647896,129.08738,4.55892,124.52846,789.7,242.05,5.55,236.5,17.6312,13.76,0,13.76,31.97,24,0.06,23.94,74.33041955,54.472216,0.17011155,54.30210445,298,612,392,Rb1.03Ba0.94PO4Eu0.03
7,4,0.05,3.95,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,139.4,50.4,3.15,47.25,315.903452,123.5943,7.5982,115.9961,789.5,246.75,9.25,237.5,17.612,13.76,0,13.76,31.95,24,0.1,23.9,74.31890325,54.472216,0.28351925,54.18869675,298,612,392,Rb1.05Ba0.9PO4Eu0.05
7,4,0.07,3.93,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,139.16,48.16,4.41,43.75,315.159008,118.10122,10.63748,107.46374,789.3,251.45,12.95,238.5,17.5928,13.76,0,13.76,31.93,24,0.14,23.86,74.30738695,54.472216,0.39692695,54.07528905,298,612,392,Rb1.07Ba0.86PO4Eu0.07
7,4,0.09,3.91,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,138.92,45.92,5.67,40.25,314.414564,112.60814,13.67676,98.93138,789.1,256.15,16.65,239.5,17.5736,13.76,0,13.76,31.91,24,0.18,23.82,74.29587065,54.472216,0.51033465,53.96188135,298,612,392,Rb1.09Ba0.82PO4Eu0.09
7,4,0.11,3.89,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,138.68,43.68,6.93,36.75,313.67012,107.11506,16.71604,90.39902,788.9,260.85,20.35,240.5,17.5544,13.76,0,13.76,31.89,24,0.22,23.78,74.28435435,54.472216,0.62374235,53.84847365,298,612,392,Rb1.11Ba0.78PO4Eu0.11
7,4,0.13,3.87,179,63,8,55,421.731562,151.964,15.999,135.965,795,235,60,175,7.34,3.44,0,3.44,16,6,1,5,39.163917,13.618054,4.177128,9.440926,138.44,41.81,8.19,33.62,312.925676,101.62198,19.75532,81.86666,788.7,265.55,24.05,241.5,17.5352,13.76,0,13.76,31.87,24,0.26,23.74,74.27283805,54.472216,0.73715005,53.73506595,298,612,392,Rb1.13Ba0.74PO4Eu0.13
36.91,24,0.03,23.97,191,63,8,55,451.081762,151.964,15.999,135.965,715,215,60,155,8.3,3.44,0,3.44,18,6,2,4,40.7731442,13.618054,5.211664,8.40639,642.01,192,1.89,190.11,1431.852332,445.49384,4.55892,440.93492,3291.95,1440,5.55,1434.45,105.2764,82.56,0,82.56,191.7,144,0.06,143.94,428.0095737,326.833296,0.17011155,326.6631845,298,612,390,Ba3In3.88P6O24Eu0.03
9.09,6,0.04,5.96,225,83,8,75,538.7814,208.9804,15.999,192.9814,730,185,60,125,8.39,3.44,0,3.44,20,6,2,4,41.2954992,13.618054,5.670385,7.947669,176.47,102,3.15,98.85,395.549416,243.52,7.5982,235.9218,845.65,360,6.4,353.6,25.816,20.64,0,20.64,48.3,36,0.1,35.9,105.6131971,81.708324,0.28351925,81.42480475,298,612,298,CaSb2O6Eu0.05Bi0.04
36.97,24,0.01,23.99,191,63,8,55,451.081762,151.964,15.999,135.965,715,215,60,155,8.3,3.44,0,3.44,18,6,2,4,40.7731442,13.618054,5.211664,8.40639,644.67,194.04,0.63,193.41,1437.998492,454.67928,1.51964,453.15964,3300.65,1440,1.85,1438.15,105.4188,82.56,0,82.56,191.9,144,0.02,143.98,428.3590744,326.833296,0.05670385,326.7765922,298,612,232,Ba3In3.96P6O24Eu0.01
13.45,8,0.45,7.55,182,63,8,55,420.8777393,151.964,15.999,135.965,935,195,60,135,8.1,3.44,0,3.44,19,6,1,5,42.8637579,13.618054,5.1390767,8.4789773,226.35,64,11,53,500.2320393,138.90547,22.98976928,115.9157007,1388.25,480,83.25,396.75,33.81,27.52,0,27.52,64.9,48,0.9,47.1,141.8176112,108.944432,2.55167325,106.3927588,298,613,467,NaCaLaV2O8Eu0.45
13.05,8,0.05,7.95,182,63,8,55,420.8777393,151.964,15.999,135.965,935,195,60,135,8.1,3.44,0,3.44,19,6,1,5,42.8637579,13.618054,5.1390767,8.4789773,201.15,64,3.15,60.85,439.4464393,138.90547,7.5982,131.30727,1314.25,480,9.25,470.75,33.81,27.52,0,27.52,64.1,48,0.1,47.9,139.5494572,108.944432,0.28351925,108.6609128,298,613,467,NaCaLaV2O8Eu0.05
10.98,7,0.02,6.98,244,83,8,75,592.1634,208.9804,15.999,192.9814,745,200,60,140,8.39,3.44,0,3.44,21,6,2,4,41.2784822,13.618054,5.670385,7.947669,309.94,162.68,1.26,161.42,739.853864,409.601584,3.03928,406.562304,1077.3,420,3.7,416.3,30.854,24.08,0,24.08,59.84,42,0.04,41.96,124.4239243,95.326378,0.1134077,95.2129703,298,613,465,SrBi1.96TeO7Eu0.02
10.85,7,0.15,6.85,244,83,8,75,592.1634,208.9804,15.999,192.9814,745,200,60,140,8.39,3.44,0,3.44,21,6,2,4,41.2784822,13.618054,5.670385,7.947669,296.55,141.1,9.45,131.65,705.27428,355.26668,22.7946,332.47208,1059.75,420,27.75,392.25,30.36,24.08,0,24.08,58.8,42,0.3,41.7,123.2668402,95.326378,0.85055775,94.47582025,298,613,465,SrBi1.7TeO7Eu0.15
10.7,7,0.3,6.7,244,83,8,75,592.1634,208.9804,15.999,192.9814,745,200,60,140,8.39,3.44,0,3.44,21,6,2,4,41.2784822,13.618054,5.670385,7.947669,281.1,116.2,18.9,97.3,665.37476,292.57256,45.5892,246.98336,1039.5,420,55.5,364.5,29.79,24.08,0,24.08,57.6,42,0.6,41.4,121.9317431,95.326378,1.7011155,93.6252625,298,613,465,SrBi1.4TeO7Eu0.3
9.05,6,0.05,5.95,196,83,8,75,472.8934,208.9804,15.999,192.9814,550,185,60,125,7.5,3.44,0,3.44,19,6,2,4,33.666385,13.618054,5.670385,7.947669,259.15,166,3.15,162.85,617.503,417.9608,7.5982,410.3626,834.25,360,9.25,350.75,26.6,20.64,0,20.64,52.1,36,0.1,35.9,103.6553053,81.708324,0.28351925,81.42480475,298,613,465,Bi2MoO6Eu0.05
9.1,6,0.1,5.9,196,83,8,75,472.8934,208.9804,15.999,192.9814,550,185,60,125,7.5,3.44,0,3.44,19,6,2,4,33.666385,13.618054,5.670385,7.947669,262.3,166,6.3,159.7,625.1012,417.9608,15.1964,402.7644,843.5,360,18.5,341.5,26.6,20.64,0,20.64,52.2,36,0.2,35.8,103.9388245,81.708324,0.5670385,81.1412855,298,613,465,Bi2MoO6Eu0.1
9.15,6,0.15,5.85,196,83,8,75,472.8934,208.9804,15.999,192.9814,550,185,60,125,7.5,3.44,0,3.44,19,6,2,4,33.666385,13.618054,5.670385,7.947669,265.45,166,9.45,156.55,632.6994,417.9608,22.7946,395.1662,852.75,360,27.75,332.25,26.6,20.64,0,20.64,52.3,36,0.3,35.7,104.2223438,81.708324,0.85055775,80.85776625,298,613,465,Bi2MoO6Eu0.15
9.2,6,0.2,5.8,196,83,8,75,472.8934,208.9804,15.999,192.9814,550,185,60,125,7.5,3.44,0,3.44,19,6,2,4,33.666385,13.618054,5.670385,7.947669,268.6,166,12.6,153.4,640.2976,417.9608,30.3928,387.568,862,360,37,323,26.6,20.64,0,20.64,52.4,36,0.4,35.6,104.505863,81.708324,1.134077,80.574247,298,613,465,Bi2MoO6Eu0.2
12.05,8,0.05,7.95,220,74,8,66,532.0427693,183.84,15.999,167.841,740,185,60,125,7.27,3.44,0,3.44,17,6,1,5,38.4413417,13.618054,5.1390767,8.4789773,290.15,148,3.15,144.85,683.5099693,367.68,7.5982,360.0818,1119.25,480,9.25,470.75,33.05,27.52,0,27.52,63.1,48,0.1,47.9,136.244884,108.944432,0.28351925,108.6609128,298,613,465,NaGdW2O8Eu0.05
19,12,0.5,11.5,252,74,8,66,602.63347,183.84,15.999,167.841,925,200,60,140,8.5,3.44,0,3.44,21,6,2,4,46.0704712,13.618054,5.5769,8.041154,423,148,24,124,980.238205,367.68,48.61,319.07,1875,720,92.5,627.5,49.9,41.28,0,41.28,95.5,72,1,71,211.3325877,163.416648,2.8351925,160.5814555,298,613,464,SrLa1.5Mg2W2O12Eu0.5
6,4,0.01,3.99,169,63,8,55,401.24,151.964,15.999,135.965,605,215,60,155,6.49,3.44,0,3.44,16,6,2,4,31.592533,13.618054,5.211664,8.40639,130.07,55.44,0.63,54.81,297.41937,135.95373,1.51964,134.43409,599.7,240,1.85,238.15,16.8011,13.76,0,13.76,32,24,0.02,23.98,66.78089721,54.472216,0.05670385,54.41551215,298,613,464,Ba0.99MoO4Eu0.01
6,4,0.03,3.97,169,63,8,55,401.24,151.964,15.999,135.965,605,215,60,155,6.49,3.44,0,3.44,16,6,2,4,31.592533,13.618054,5.211664,8.40639,130.21,54.32,1.89,52.43,297.71211,133.20719,4.55892,128.64827,599.1,240,5.55,234.45,16.7833,13.76,0,13.76,32,24,0.06,23.94,66.79007163,54.472216,0.17011155,54.30210445,298,613,464,Ba0.97MoO4Eu0.03
6,4,0.06,3.94,169,63,8,55,401.24,151.964,15.999,135.965,605,215,60,155,6.49,3.44,0,3.44,16,6,2,4,31.592533,13.618054,5.211664,8.40639,130.42,52.64,3.78,48.86,298.15122,129.08738,9.11784,119.96954,598.2,240,11.1,228.9,16.7566,13.76,0,13.76,32,24,0.12,23.88,66.80383326,54.472216,0.3402231,54.1319929,298,613,464,Ba0.94MoO4Eu0.06
6,4,0.09,3.91,169,63,8,55,401.24,151.964,15.999,135.965,605,215,60,155,6.49,3.44,0,3.44,16,6,2,4,31.592533,13.618054,5.211664,8.40639,130.63,50.96,5.67,45.29,298.59033,124.96757,13.67676,111.29081,597.3,240,16.65,223.35,16.7299,13.76,0,13.76,32,24,0.18,23.82,66.81759489,54.472216,0.51033465,53.96188135,298,613,464,Ba0.91MoO4Eu0.09
6,4,0.12,3.88,169,63,8,55,401.24,151.964,15.999,135.965,605,215,60,155,6.49,3.44,0,3.44,16,6,2,4,31.592533,13.618054,5.211664,8.40639,130.84,49.28,7.56,41.72,299.02944,120.84776,18.23568,102.61208,596.4,240,22.2,217.8,16.7032,13.76,0,13.76,32,24,0.24,23.76,66.83135652,54.472216,0.6804462,53.7917698,298,613,464,Ba0.88MoO4Eu0.12
22,13,0.35,12.65,153,63,5,58,357.75647,151.964,10.81,141.154,705,195,60,135,7.58,3.44,0,3.44,16,6,2,4,39.2765132,13.618054,5.5769,8.041154,218.1,104,20,84,467.2109555,207.987,40.078,167.909,1746.5,780,64.75,715.25,60.715,44.72,0,44.72,103.65,78,0.7,77.3,246.84361,177.034702,1.98463475,175.0500673,298,613,395,CaLa0.65B7O13Eu0.35
13.04,8,0.04,7.96,106,63,8,55,239.014762,151.964,15.999,135.965,525,185,60,125,6.63,3.44,0,3.44,15,6,2,4,35.8882802,13.618054,5.670385,7.947669,156.52,64,2.52,61.48,316.252084,127.992,6.07856,121.91344,1227.4,540,7.4,532.6,34.9,27.52,0,27.52,64.08,48,0.08,47.92,148.484085,108.944432,0.2268154,108.7176166,298,613,395,Ca3P2O8Eu0.04
28.005,17,0.005,16.995,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,412.315,136,0.315,135.685,886.74482,274.654,0.75982,273.89418,2560.925,1020,0.925,1019.075,75.96,58.48,0,58.48,156.01,102,0.01,101.99,315.7702491,231.506918,0.028351925,231.4785661,298,613,395,Ba2CaZn2Si6O17Eu0.005
28.01,17,0.01,16.99,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,412.63,136,0.63,135.37,887.50464,274.654,1.51964,273.13436,2561.85,1020,1.85,1018.15,75.96,58.48,0,58.48,156.02,102,0.02,101.98,315.7986011,231.506918,0.05670385,231.4502142,298,613,395,Ba2CaZn2Si6O17Eu0.01
28.03,17,0.03,16.97,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,413.89,136,1.89,134.11,890.54392,274.654,4.55892,270.09508,2565.55,1020,5.55,1014.45,75.96,58.48,0,58.48,156.06,102,0.06,101.94,315.9120088,231.506918,0.17011155,231.3368065,298,613,395,Ba2CaZn2Si6O17Eu0.03
28.05,17,0.05,16.95,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,415.15,136,3.15,132.85,893.5832,274.654,7.5982,267.0558,2569.25,1020,9.25,1010.75,75.96,58.48,0,58.48,156.1,102,0.1,101.9,316.0254165,231.506918,0.28351925,231.2233988,298,613,395,Ba2CaZn2Si6O17Eu0.05
28.07,17,0.07,16.93,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,416.41,136,4.41,131.59,896.62248,274.654,10.63748,264.01652,2572.95,1020,12.95,1007.05,75.96,58.48,0,58.48,156.14,102,0.14,101.86,316.1388242,231.506918,0.39692695,231.1099911,298,613,395,Ba2CaZn2Si6O17Eu0.07
28.09,17,0.09,16.91,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,417.67,136,5.67,130.33,899.66176,274.654,13.67676,260.97724,2576.65,1020,16.65,1003.35,75.96,58.48,0,58.48,156.18,102,0.18,101.82,316.2522319,231.506918,0.51033465,230.9965834,298,613,395,Ba2CaZn2Si6O17Eu0.09
28.11,17,0.11,16.89,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,418.93,136,6.93,129.07,902.70104,274.654,16.71604,257.93796,2580.35,1020,20.35,999.65,75.96,58.48,0,58.48,156.22,102,0.22,101.78,316.3656396,231.506918,0.62374235,230.8831757,298,613,395,Ba2CaZn2Si6O17Eu0.11
20.98,13,0.02,12.98,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,330.64,164,1.26,162.74,707.5259432,371.62548,3.03928,368.5862,2076.5,780,3.7,776.3,54.9414,44.72,0,44.72,103.98,78,0.04,77.96,226.4629289,177.034702,0.1134077,176.9212943,298,613,395,Na1.98Ca1.98Nb4O13Eu0.02
20.96,13,0.04,12.96,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,331.28,164,2.52,161.48,709.3038678,371.62548,6.07856,365.54692,2073,780,7.4,772.6,54.9028,44.72,0,44.72,103.96,78,0.08,77.92,226.3512919,177.034702,0.2268154,176.8078866,298,613,395,Na1.96Ca1.96Nb4O13Eu0.04
20.94,13,0.06,12.94,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,331.92,164,3.78,160.22,711.0817924,371.62548,9.11784,362.50764,2069.5,780,11.1,768.9,54.8642,44.72,0,44.72,103.94,78,0.12,77.88,226.239655,177.034702,0.3402231,176.6944789,298,613,395,Na1.94Ca1.94Nb4O13Eu0.06
20.92,13,0.08,12.92,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,332.56,164,5.04,158.96,712.859717,371.62548,12.15712,359.46836,2066,780,14.8,765.2,54.8256,44.72,0,44.72,103.92,78,0.16,77.84,226.128018,177.034702,0.4536308,176.5810712,298,613,395,Na1.92Ca1.92Nb4O13Eu0.08
20.9,13,0.1,12.9,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,333.2,164,6.3,157.7,714.6376416,371.62548,15.1964,356.42908,2062.5,780,18.5,761.5,54.787,44.72,0,44.72,103.9,78,0.2,77.8,226.0163811,177.034702,0.5670385,176.4676635,298,613,395,Na1.9Ca1.9Nb4O13Eu0.1
20.88,13,0.12,12.88,143,63,8,55,323.9371393,151.964,15.999,135.965,750,185,60,125,6.97,3.44,0,3.44,16,6,1,5,37.2995209,13.618054,5.1390767,8.4789773,333.84,164,7.56,156.44,716.4155662,371.62548,18.23568,353.3898,2059,780,22.2,757.8,54.7484,44.72,0,44.72,103.88,78,0.24,77.76,225.9047442,177.034702,0.6804462,176.3542558,298,613,395,Na1.88Ca1.88Nb4O13Eu0.12
6,3,0.01,2.99,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,60.43,24,0.63,23.37,122.9936293,47.997,1.51964,46.47736,625.05,180,1.85,178.15,14.28,10.32,0,10.32,24,18,0.02,17.98,60.3999852,40.854162,0.05670385,40.79745815,298,613,395,NaCa0.99BO3Eu0.01
6,3,0.03,2.97,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,61.29,24,1.89,22.11,125.2313493,47.997,4.55892,43.43808,625.15,180,5.55,174.45,14.26,10.32,0,10.32,24,18,0.06,17.94,60.39112979,40.854162,0.17011155,40.68405045,298,613,395,NaCa0.97BO3Eu0.03
6,3,0.05,2.95,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,62.15,24,3.15,20.85,127.4690693,47.997,7.5982,40.3988,625.25,180,9.25,170.75,14.24,10.32,0,10.32,24,18,0.1,17.9,60.38227439,40.854162,0.28351925,40.57064275,298,613,395,NaCa0.95BO3Eu0.05
6,3,0.07,2.93,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,63.01,24,4.41,19.59,129.7067893,47.997,10.63748,37.35952,625.35,180,12.95,167.05,14.22,10.32,0,10.32,24,18,0.14,17.86,60.37341899,40.854162,0.39692695,40.45723505,298,613,395,NaCa0.93BO3Eu0.07
6,3,0.09,2.91,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,63.87,24,5,19,131.9445093,47.997,10.81,37.187,625.45,180,16.65,163.35,14.2,10.32,0,10.32,24,18,0.18,17.82,60.36456358,40.854162,0.51033465,40.34382735,298,613,395,NaCa0.91BO3Eu0.09
6,3,0.11,2.89,107,63,5,58,241.8407693,151.964,10.81,141.154,690,185,60,125,7.41,3.44,0,3.44,14,6,1,5,38.8386899,13.618054,5.1390767,8.4789773,64.73,24,5,19,134.1822293,47.997,10.81,37.187,625.55,180,20.35,159.65,14.18,10.32,0,10.32,24,18,0.22,17.78,60.35570818,40.854162,0.62374235,40.23041965,298,613,395,NaCa0.89BO3Eu0.11
