Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Temp. (K),Int. quantum efficiency (%),Formula
4.95,3,0.1,2.9,113,63,8,55,255.908,151.964,15.999,135.965,565,185,60,125,5.98,3.44,0,3.44,14,6,2,4,32.2297142,13.618054,5.670385,7.947669,69.3,24,6.3,17.7,145.1267,47.997,15.1964,32.8006,491.5,180,18.5,161.5,12.71,10.32,0,10.32,23.9,18,0.2,17.8,53.44550242,40.854162,0.5670385,40.2871235,397,298,10.6,Ca0.85TiO3Eu0.1
6,3,0.01,2.99,165,63,16,47,386.731,151.964,32.06,119.904,635,215,100,115,5.12,2.58,0,2.58,22,12,2,10,30.636258,10.36001,5.211664,5.148346,190.07,111.44,0.63,110.81,436.36037,273.28073,1.51964,271.76109,864.7,427.85,1.85,426,11.1611,7.74,0,7.74,34,18,0.02,17.98,50.90214421,31.08003,0.05670385,31.02332615,440,298,11,Ba1.99ZnS3Eu0.01
18.99,12,0.005,11.995,145,63,8,55,331.51267,151.964,15.999,135.965,705,200,60,140,7.94,3.44,0,3.44,18,6,2,4,42.0314822,13.618054,5.670385,7.947669,275.745,113.43,0.315,113.115,592.170714,261.5457,0.75982,260.78588,1777.925,720,0.925,719.075,52.04575,41.28,0,41.28,95.98,72,0.01,71.99,218.4657265,163.416648,0.028351925,163.3882961,350,298,11,Sr2.985ScP3O12Eu0.005
123.255,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.69515336,14.53413,5.391714761,9.142415239,1298.815,507,0.315,506.685,2647.757322,1052.280002,0.75982,1051.520182,13348.425,4875,0.925,4874.075,259.03,167.2,0,167.2,440.01,275,0.01,274.99,1204.085135,799.37715,0.028351925,799.3487981,450,298,11,Ca18.75Li10.5Al39N55Eu0.005
7,4,0.02,3.98,186,63,8,55,428.391044,151.964,15.999,135.965,890,215,60,155,8.78,3.44,0,3.44,23,7,2,5,46.1989592,13.618054,5.211664,8.40639,133.44,71.68,1.26,70.42,300.4394444,175.77856,3.03928,172.73928,750.9,275.2,3.7,271.5,17.5542,13.76,0,13.76,32.5,24,0.04,23.96,73.81953154,54.472216,0.1134077,54.3588083,390,298,11,Ba1.28Ca0.6SiO4Eu0.02Mn0.1
28.09,17,0.09,16.91,191,63,8,55,438.833,151.964,15.999,135.965,885,215,60,155,8.88,3.44,0,3.44,28,12,2,10,48.1591402,13.618054,5.211664,8.40639,417.67,136,5.67,130.33,899.66176,274.654,13.67676,260.97724,2576.65,1020,16.65,1003.35,75.96,58.48,0,58.48,156.18,102,0.18,101.82,316.2522319,231.506918,0.51033465,230.9965834,395,298,11.2,Ba2CaZn2Si6O17Eu0.09
21.01,12,0.01,11.99,189,63,8,55,441.2792432,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156,376.63,117,0.63,116.37,838.1325632,274.654,1.51964,273.13436,2071.85,720,1.85,718.15,56.4,41.28,0,41.28,104.02,72,0.02,71.98,234.4263289,163.416648,0.05670385,163.3599442,350,298,11.2,Ba2Y3Si3O12FEu0.01
5,3,0.3,2.7,116,63,3,60,262.848,151.964,6.94,145.024,710,185,60,125,6.96,3.44,0,3.44,15,6,1,5,37.62142896,13.618054,5.391714761,8.226339239,73.8,24,0.9,23.1,159.5664,47.997,2.082,45.915,491,180,43.5,136.5,12.554,10.32,0,10.32,23.7,18,0.3,17.7,53.44617401,40.854162,1.617514428,39.23664757,397,298,11.2,Ca0.4TiO3Li0.3Eu0.3
18.98,12,0.005,11.995,170,63,8,55,386.450714,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669,275.3,112.86,0.125,112.735,591.1311042,260.2314,0.27469022,259.9567098,1775.625,720,0.7,719.3,52.03925,41.28,0,41.28,95.985,72,0.01,71.99,218.4174736,163.416648,0.028351925,163.3882961,350,298,11.6,Sr2.97ScP3O12Eu0.005Mn0.005
18.83,12,0.005,11.995,170,63,8,55,386.450714,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669,268.625,104.31,0.315,103.995,575.5369575,240.5169,0.75982,239.75708,1741.125,720,0.925,719.075,51.94175,41.28,0,41.28,96.06,72,0.01,71.99,217.6936798,163.416648,0.028351925,163.3882961,350,298,12,Sr2.745ScP3O12Eu0.005Mn0.08
5.05,3,0.05,2.95,110,63,8,55,256.86884,151.964,15.999,135.965,425,185,60,125,4.66,3.44,0,3.44,11,6,2,4,25.505699,13.618054,5.670385,7.947669,105.15,78,3.15,74.85,233.40688,177.81168,7.5982,170.21348,549.25,360,9.25,350.75,12.76,10.32,0,10.32,24.1,18,0.1,17.9,53.57220125,40.854162,0.28351925,40.57064275,466,298,12.2,Y2O3Eu0.05
18.97,12,0.005,11.995,170,63,8,55,386.450714,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669,274.855,112.29,0.25,112.04,590.0914944,258.9171,0.54938044,258.3677196,1773.325,720,0.925,719.075,52.03275,41.28,0,41.28,95.99,72,0.01,71.99,218.3692207,163.416648,0.028351925,163.3882961,350,298,12.3,Sr2.955ScP3O12Eu0.005Mn0.01
22,13,0.45,12.55,153,63,5,58,357.75647,151.964,10.81,141.154,705,195,60,135,7.58,3.44,0,3.44,16,6,2,4,39.2765132,13.618054,5.5769,8.041154,218.7,104,20,84,468.5168085,207.987,40.078,167.909,1745.5,780,83.25,696.75,60.605,44.72,0,44.72,103.55,78,0.9,77.1,246.8529585,177.034702,2.55167325,174.4830288,395,298,12.6,CaLa0.55B7O13Eu0.45
4.9,3,0.2,2.8,113,63,8,55,255.908,151.964,15.999,135.965,565,185,60,125,5.98,3.44,0,3.44,14,6,2,4,32.2297142,13.618054,5.670385,7.947669,72.6,24,12.6,11.4,154.3114,47.997,28.0546,19.9424,483,180,37,143,12.56,10.32,0,10.32,23.8,18,0.4,17.6,53.09556764,40.854162,1.134077,39.720085,397,298,12.7,Ca0.7TiO3Eu0.2
42,26,0.02,25.98,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,572.86,208,1.26,206.74,1202.489232,415.974,3.03928,412.93472,3990.1,1560,3.7,1556.3,112.76,89.44,0,89.44,208,156,0.04,155.96,477.0397062,354.069404,0.1134077,353.9559963,318,298,13,Ca7.98La2P6O26Eu0.02
7.01,4,0.01,3.99,143,63,8,55,323.9283785,151.964,15.999,135.965,730,185,60,125,7.27,3.44,0,3.44,16,6,2,4,37.6046226,13.618054,5.670385,7.947669,104.63,39,0.63,38.37,221.4810185,88.90584,1.51964,87.3862,726.85,240,1.85,238.15,17.59,13.76,0,13.76,32.02,24,0.02,23.98,72.84510345,54.472216,0.05670385,54.41551215,272,298,13,CaYAlO4Eu0.01
20.4,12,0.3,11.7,136,63,8,55,310.8323713,151.964,15.999,135.965,705,185,60,125,7.78,3.44,0,3.44,17,6,1,5,41.1314617,13.618054,5.1390767,8.4789773,258,96,18.9,77.1,546.6204154,191.988,45.5892,146.3988,1993.5,720,55.5,664.5,53.028,41.28,0,41.28,95.7,72,0.6,71.4,224.4043876,163.416648,1.7011155,161.7155325,394,298,13,Na3.6Y1.5P3O12Eu0.3
26,15,0.7,14.3,171,63,5,58,405.00584,151.964,10.81,141.154,725,215,60,155,7.59,3.44,0,3.44,16,6,2,4,39.015382,13.618054,5.211664,8.40639,412.8,168,30,138,938.778392,411.981,64.86,347.121,2418.5,900,129.5,770.5,68.096,51.6,0,51.6,119.3,90,1.4,88.6,281.7456235,204.27081,3.9692695,200.3015405,393,298,13.1,Ba3Y1.3B6O15Eu0.7
22,13,0.02,12.98,153,63,5,58,357.75647,151.964,10.81,141.154,705,195,60,135,7.58,3.44,0,3.44,16,6,2,4,39.2765132,13.618054,5.5769,8.041154,216.12,104,1.26,102.74,462.9016406,207.987,3.03928,204.94772,1749.8,780,3.7,776.3,61.078,44.72,0,44.72,103.98,78,0.04,77.96,246.8127599,177.034702,0.1134077,176.9212943,395,298,13.2,CaLa0.98B7O13Eu0.02
13,8,0.01,7.99,189,64,8,56,435.363062,157.25,15.999,141.251,925,220,60,160,8.65,3.44,0,3.44,18,6,1,5,46.37873974,13.618054,4.34066354,9.27739046,197.43,64,0.63,63.37,427.484684,157.25,1.51964,155.73036,1260.05,480,1.85,478.15,34.91,27.52,0,27.52,63,48,0.02,47.98,146.516991,108.944432,0.05670385,108.8877282,365,298,13.2,KCa0.99GdP2O8Eu0.01
