Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Temp. (K),Ext. quantum efficiency (%),Formula
45.56,28,0.06,27.94,136,63,8,55,310.861762,151.964,15.999,135.965,695,200,60,140,7.89,3.44,0,3.44,17,6,2,4,43.1162272,13.618054,5.670385,7.947669,692.78,342,3.78,338.22,1498.943674,788.58,9.11784,779.46216,4416.1,1800,11.1,1788.9,122.165,96.32,0,96.32,224.12,168,0.12,167.88,517.7756944,381.305512,0.3402231,380.9652889,460,298,26.9,Sr9Mg1.5P7O28Eu0.06
13.04,8,0.04,7.96,98,63,8,55,223.241762,151.964,15.999,135.965,495,185,60,125,6.94,3.44,0,3.44,15,6,2,4,37.42136,13.618054,5.670385,7.947669,132.52,64,2.52,61.48,268.933084,127.992,6.07856,121.91344,1137.4,480,7.4,472.6,35.83,27.52,0,27.52,64.08,48,0.08,47.92,153.0833244,108.944432,0.2268154,108.7176166,378,298,27.63,Mg3P2O8Eu0.04
13,5,0.01,4.99,232,71,7,64,549.3303385,174.9668,14.007,160.9598,935,215,60,155,11.88,3.44,0,3.44,24,6,2,4,58.5975554,14.53413,5.211664,9.322466,232.07,71,0.63,70.37,524.606247,174.9668,1.51964,173.44716,1304.7,325,1.85,323.15,30.9811,15.2,0,15.2,55,25,0.02,24.98,138.823783,72.67065,0.05670385,72.61394615,365,298,29.5,Ba0.99LuAl2Si2O2N5Eu0.01
21.01,15,0.01,14.99,152,63,8,55,352.81884,151.964,15.999,135.965,570,185,60,125,6.82,3.44,0,3.44,17,6,2,4,32.598129,13.618054,5.670385,7.947669,366.63,168,0.63,167.37,803.11632,383.8,1.51964,382.28036,1841.85,900,1.85,898.15,62.68,51.6,0,51.6,120.02,90,0.02,89.98,245.1317539,204.27081,0.05670385,204.2141062,393.5,298,30,Y2Mo4O15Eu0.01
21.105,12,0.025,11.975,140,63,8,55,312.9512092,151.964,15.999,135.965,715,185,50,135,12.16,3.98,0,3.98,29,7,2,5,60.7451182,17.42282,5.670385,11.752435,253.575,100,1.575,98.425,512.4918327,200.39,3.7991,196.5909,1985.825,900,4.625,895.375,56.954,41.28,0,41.28,104.61,72,0.05,71.95,243.6017831,163.416648,0.141759625,163.2748884,335,298,32.7,Ca5P3O12FEu0.025Mn0.08
18.98,12,0.01,11.99,188,63,8,55,430.400646,151.964,15.999,135.965,865,200,60,140,9.35,3.44,0,3.44,25,7,2,5,49.1212702,13.618054,5.670385,7.947669,292.71,110.58,0.63,109.95,633.6052486,254.9742,1.51964,253.45456,1792.25,720,1.85,718.15,51.9275,41.28,0,41.28,96.26,72,0.02,71.98,218.1687745,163.416648,0.05670385,163.3599442,355,298,33.8,Sr2.91YP3O12Eu0.01Mn0.06
18.98,12,0.01,11.99,188,63,8,55,430.400646,151.964,15.999,135.965,865,200,60,140,9.35,3.44,0,3.44,25,7,2,5,49.1212702,13.618054,5.670385,7.947669,292.32,109.44,0.63,108.81,632.62479,252.3456,1.51964,250.82596,1790.45,720,1.85,718.15,51.9455,41.28,0,41.28,96.41,72,0.02,71.98,218.220949,163.416648,0.05670385,163.3599442,355,298,34.5,Sr2.88YP3O12Eu0.01Mn0.09
13,8,0.5,7.5,203,64,8,56,475.1265313,157.25,15.999,141.251,850,185,60,125,9.92,3.44,0,3.44,22,6,1,5,48.1564277,13.618054,5.1390767,8.4789773,206.5,64,15,49,455.5023006,127.992,30.973762,97.018238,1267.5,480,90,390,34.33,27.52,0,27.52,63,48,1,47,142.7117919,108.944432,2.8351925,106.1092395,396,298,37,Na2Gd0.5PO8MoEu0.5
21.05,15,0.05,14.95,152,63,8,55,352.81884,151.964,15.999,135.965,570,185,60,125,6.82,3.44,0,3.44,17,6,2,4,32.598129,13.618054,5.670385,7.947669,369.15,168,3.15,164.85,809.19488,383.8,7.5982,376.2018,1849.25,900,9.25,890.75,62.68,51.6,0,51.6,120.1,90,0.1,89.9,245.3585693,204.27081,0.28351925,203.9872908,393.5,298,38,Y2Mo4O15Eu0.05
20.045,12,0.02,11.98,120,63,3,60,269.280062,151.964,6.94,145.024,860,220,60,160,8.74,3.44,0,3.44,17,6,1,5,47.1537383,13.618054,4.34066354,9.27739046,209.335,96,0.075,95.925,424.440366,191.988,0.1735,191.8145,1847.325,720,3.625,716.375,53.9345,41.28,0,41.28,96.065,72,0.025,71.975,230.0505101,163.416648,0.1134077,163.3032403,365,298,38.26,KMg4P3O12Li0.025Eu0.02
