Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),2nd Excitation max. (nm),Formula
21.03,12,0.03,11.97,183,63,8,55,417.4507744,151.964,15.999,135.965,955,200,50,150,12.71,3.98,0,3.98,26,7,1,6,64.2491489,17.42282,5.1390767,12.2837433,315.89,114,1.89,112.11,683.2222184,262.86,4.55892,258.30108,2035.55,720,5.55,714.45,56.83,41.28,0,41.28,104.06,72,0.06,71.94,240.9105759,163.416648,0.17011155,163.2465365,298,467,400,Sr3NaYP3O12FEu0.03
13,8,0.01,7.99,144,63,8,55,326.634762,151.964,15.999,135.965,725,200,60,140,7.58,3.44,0,3.44,17,6,2,4,41.5831474,13.618054,5.670385,7.947669,185.93,66.5,0.63,65.87,394.490884,153.335,1.51964,151.81536,1255.05,480,1.85,478.15,34.8025,27.52,0,27.52,64,48,0.02,47.98,147.5208379,108.944432,0.05670385,108.8877282,298,514,364,Sr1.75Ca1.24P2O8Eu0.01
18.007,9,0.007,8.993,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.441,190,0.441,189.559,634.5831512,438.1,1.063748,437.036252,1846.295,1000,1.295,998.705,45.81,30.96,0,30.96,80.014,54,0.014,53.986,193.3933917,122.562486,0.039692695,122.5227933,298,572,527,Sr5B3O9FEu0.007
18.01,9,0.01,8.99,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.63,190,0.63,189.37,635.0390432,438.1,1.51964,436.58036,1846.85,1000,1.85,998.15,45.81,30.96,0,30.96,80.02,54,0.02,53.98,193.4104029,122.562486,0.05670385,122.5057822,298,572,527,Sr5B3O9FEu0.01
18.015,9,0.015,8.985,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,286.945,190,0.945,189.055,635.7988632,438.1,2.27946,435.82054,1847.775,1000,2.775,997.225,45.81,30.96,0,30.96,80.03,54,0.03,53.97,193.4387548,122.562486,0.085055775,122.4774302,298,572,527,Sr5B3O9FEu0.015
18.02,9,0.02,8.98,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,287.26,190,1.26,188.74,636.5586832,438.1,3.03928,435.06072,1848.7,1000,3.7,996.3,45.81,30.96,0,30.96,80.04,54,0.04,53.96,193.4671067,122.562486,0.1134077,122.4490783,298,572,527,Sr5B3O9FEu0.02
18.03,9,0.03,8.97,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,287.89,190,1.89,188.11,638.0783232,438.1,4.55892,433.54108,1850.55,1000,5.55,994.45,45.81,30.96,0,30.96,80.06,54,0.06,53.94,193.5238106,122.562486,0.17011155,122.3923745,298,572,527,Sr5B3O9FEu0.03
18.07,9,0.07,8.93,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,290.41,190,4.41,185.59,644.1568832,438.1,10.63748,427.46252,1857.95,1000,12.95,987.05,45.81,30.96,0,30.96,80.14,54,0.14,53.86,193.750626,122.562486,0.39692695,122.1655591,298,572,527,Sr5B3O9FEu0.07
18.12,9,0.12,8.88,123,63,5,58,285.3914032,151.964,10.81,141.154,580,200,50,150,10.41,3.98,0,3.98,20,7,2,5,50.7041452,17.42282,5.670385,11.752435,293.56,190,7.56,182.44,651.7550832,438.1,18.23568,419.86432,1867.2,1000,22.2,977.8,45.81,30.96,0,30.96,80.24,54,0.24,53.76,194.0341452,122.562486,0.6804462,121.8820398,298,572,527,Sr5B3O9FEu0.12
41.91,24,0.01,23.99,123,63,8,55,274.464762,151.964,15.999,135.965,625,185,60,125,9.79,3.44,0,3.44,22,7,2,5,48.8559102,13.618054,5.670385,7.947669,514.81,199.2,0.63,198.57,1039.288092,399.17688,1.51964,397.65724,4028.65,1792.8,1.85,1790.95,111.7904,82.56,0,82.56,207.52,144,0.02,143.98,475.8543438,326.833296,0.05670385,326.7765922,298,574,531,Ca9.96P6O24Cl1.94Eu0.01
11,7,0.05,6.95,168,63,8,55,398.09247,151.964,15.999,135.965,595,195,60,135,5.87,3.44,0,3.44,15,6,2,4,31.499239,13.618054,5.5769,8.041154,250.3,111.15,3.15,108,572.9048665,270.8656665,7.5982,263.2674665,1119.5,420,9.25,410.75,28.885,24.08,0,24.08,55.95,42,0.1,41.9,119.7526523,95.326378,0.28351925,95.04285875,298,586,465,La1.95Zr2O7Eu0.05
