Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),CIE x coordinate,Formula
32,19,0.01,18.99,140,63,8,55,332.2715385,151.964,15.999,135.965,585,215,60,155,5.94,3.44,0,3.44,13,6,2,4,30.4858714,13.618054,5.211664,8.40639,364.07,156,0.63,155.37,765.232832,323.778462,1.51964,322.258822,2854.7,1500,1.85,1498.15,85.5611,65.36,0,65.36,152,114,0.02,113.98,335.788498,258.743026,0.05670385,258.6863221,298,350,0.1525,Ba0.99Al12O19Eu0.01
19.04,12,0.04,11.96,182,63,8,55,420.31797,151.964,15.999,135.965,940,220,60,160,8.7,3.44,0,3.44,19,6,1,5,45.88894254,13.618054,4.34066354,9.27739046,260.52,96,2.52,93.48,557.324962,191.988,6.07856,185.90944,1782.4,720,7.4,712.6,52.28,41.28,0,41.28,96.08,72,0.08,71.92,217.7788289,163.416648,0.2268154,163.1898326,298,300,0.153,KBaSc2P3O12Eu0.04
19.03,12,0.03,11.97,164,63,8,55,370.61097,151.964,15.999,135.965,925,220,60,160,8.76,3.44,0,3.44,19,6,1,5,46.37214574,13.618054,4.34066354,9.27739046,241.89,96,1.89,94.11,506.098322,191.988,4.55892,187.42908,1765.55,720,5.55,714.45,52.34,41.28,0,41.28,96.06,72,0.06,71.94,218.2053283,163.416648,0.17011155,163.2465365,298,300,0.153,KSrSc2P3O12Eu0.03
21,12,0.01,11.99,141,63,8,55,322.006762,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.4376222,13.618054,5.670385,7.947669,348.25,189.62,0.63,188.99,759.102726,437.2238,1.51964,435.70416,2119.85,998,1.85,996.15,55.7505,41.28,0,41.28,104,72,0.02,71.98,236.3184272,163.416648,0.05670385,163.3599442,298,277,0.154,Sr4.99P3O12ClEu0.01
20,12,0.005,11.995,149,63,8,55,336.2403785,151.964,15.999,135.965,810,185,60,125,9.48,3.44,0,3.44,20,6,2,4,47.2893854,13.618054,5.670385,7.947669,252.255,96,0.315,95.685,529.181052,191.988,0.75982,191.22818,1850.175,720,0.925,719.075,53.35345,41.28,0,41.28,96,72,0.01,71.99,219.4086616,163.416648,0.028351925,163.3882961,298,370,0.154,Y2Mg1.995Al2Si2O12Eu0.005
20,12,0.001,11.999,149,63,8,55,336.2403785,151.964,15.999,135.965,810,185,60,125,9.48,3.44,0,3.44,20,6,2,4,47.2893854,13.618054,5.670385,7.947669,252.051,96,0.063,95.937,528.670416,191.988,0.151964,191.836036,1850.035,720,0.185,719.815,53.35869,41.28,0,41.28,96,72,0.002,71.998,219.416565,163.416648,0.005670385,163.4109776,298,370,0.156,Y2Mg1.999Al2Si2O12Eu0.001
20,12,0.01,11.99,149,63,8,55,336.2403785,151.964,15.999,135.965,810,185,60,125,9.48,3.44,0,3.44,20,6,2,4,47.2893854,13.618054,5.670385,7.947669,252.51,96,0.63,95.37,529.819347,191.988,1.51964,190.46836,1850.35,720,1.85,718.15,53.3469,41.28,0,41.28,96,72,0.02,71.98,219.3987823,163.416648,0.05670385,163.3599442,298,370,0.156,Y2Mg1.99Al2Si2O12Eu0.01
42.05,24,0.05,23.95,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,555.15,192,3.15,188.85,1145.03548,383.976,7.5982,376.3778,4074.25,1620,9.25,1610.75,111.83,82.56,0,82.56,208.1,144,0.1,143.9,474.2324851,326.833296,0.28351925,326.5497768,298,345,0.1571,Ca9LaP5SiO24Cl2Eu0.05
42.01,24,0.01,23.99,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,552.63,192,0.63,191.37,1138.95692,383.976,1.51964,382.45636,4066.85,1620,1.85,1618.15,111.83,82.56,0,82.56,208.02,144,0.02,143.98,474.0056697,326.833296,0.05670385,326.7765922,298,345,0.1574,Ca9LaP5SiO24Cl2Eu0.01
42.1,24,0.1,23.9,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,558.3,192,6.3,185.7,1152.63368,383.976,15.1964,368.7796,4083.5,1620,18.5,1601.5,111.83,82.56,0,82.56,208.2,144,0.2,143.8,474.5160043,326.833296,0.5670385,326.2662575,298,345,0.1582,Ca9LaP5SiO24Cl2Eu0.1
42.03,24,0.03,23.97,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,553.89,192,1.89,190.11,1141.9962,383.976,4.55892,379.41708,4070.55,1620,5.55,1614.45,111.83,82.56,0,82.56,208.06,144,0.06,143.94,474.1190774,326.833296,0.17011155,326.6631845,298,345,0.1586,Ca9LaP5SiO24Cl2Eu0.03
42.08,24,0.08,23.92,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,557.04,192,5.04,186.96,1149.5944,383.976,12.15712,371.81888,4079.8,1620,14.8,1605.2,111.83,82.56,0,82.56,208.16,144,0.16,143.84,474.4025966,326.833296,0.4536308,326.3796652,298,345,0.1587,Ca9LaP5SiO24Cl2Eu0.08
42.15,24,0.15,23.85,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,561.45,192,9.45,182.55,1160.23188,383.976,22.7946,361.1814,4092.75,1620,27.75,1592.25,111.83,82.56,0,82.56,208.3,144,0.3,143.7,474.7995236,326.833296,0.85055775,325.9827383,298,345,0.1599,Ca9LaP5SiO24Cl2Eu0.15
42.2,24,0.2,23.8,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,564.6,192,12.6,179.4,1167.83008,383.976,28.085,355.891,4102,1620,37,1583,111.83,82.56,0,82.56,208.4,144,0.4,143.6,475.0830428,326.833296,1.134077,325.699219,298,345,0.161,Ca9LaP5SiO24Cl2Eu0.2
2,0.995,0.005,0.99,131,63,11,52,301.6720693,151.964,22.98976928,128.9742307,785,220,180,40,2.7,0.95,0,0.95,6,2,1,1,20.84499244,5.6948672,4.34066354,1.35420366,55.525,37.81,0.315,37.495,123.8183139,87.1819,0.75982,86.42208,411.925,199,0.925,198.075,1.78725,0.94525,0,0.94525,3,1.99,0.01,1.98,10.19509096,5.666392864,0.028351925,5.638040939,298,365,0.162,K0.8Na0.2Sr0.995Eu0.005
16.04,10,0.04,9.96,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,206.52,80,2.52,77.48,440.04056,159.99,6.07856,153.91144,1412.4,600,7.4,592.6,44.2,34.4,0,34.4,80.08,60,0.08,59.92,181.8719864,136.18054,0.2268154,135.9537246,298,360,0.162,BaMgSi4O10Eu0.04
44.944,28,0.007,27.993,183,63,8,55,415.540602,151.964,15.999,135.965,905,200,60,140,8.8,3.44,0,3.44,20,6,2,4,47.8004074,13.618054,5.670385,7.947669,628.181,224,0.441,223.559,1326.874008,447.972,1.063748,446.908252,4259.955,1680,1.295,1678.705,121.582,96.32,0,96.32,223.888,168,0.014,167.986,513.7202387,381.305512,0.039692695,381.2658193,298,380,0.162,Ca4.437Sr4.5YP7O28Eu0.007
19.05,12,0.02,11.98,229,65,8,57,529.53632,158.92535,15.999,142.92635,1100,220,60,160,8.76,3.44,0,3.44,21,6,1,5,52.23594574,13.618054,4.34066354,9.27739046,243.19,96,1.3,94.7,509.276829,191.988,3.178507,188.809493,1769.05,720,3.5,716.5,52.34,41.28,0,41.28,96.1,72,0.04,71.96,218.3226043,163.416648,0.117276,163.299372,298,300,0.162,KSrSc2P3O12Eu0.03Tb0.02
20,12,0.02,11.98,149,63,8,55,336.2403785,151.964,15.999,135.965,810,185,60,125,9.48,3.44,0,3.44,20,6,2,4,47.2893854,13.618054,5.670385,7.947669,253.02,96,1.26,94.74,531.095937,191.988,3.03928,188.94872,1850.7,720,3.7,716.3,53.3338,41.28,0,41.28,96,72,0.04,71.96,219.3790238,163.416648,0.1134077,163.3032403,298,370,0.162,Y2Mg1.98Al2Si2O12Eu0.02
42.3,24,0.3,23.7,194,63,8,55,441.455232,151.964,15.999,135.965,930,195,60,135,12.79,3.44,0,3.44,29,7,2,5,62.5844932,13.618054,5.5769,8.041154,570.9,192,14,178,1183.02648,383.976,28.085,355.891,4120.5,1620,55.5,1564.5,111.83,82.56,0,82.56,208.6,144,0.6,143.4,475.6500813,326.833296,1.7011155,325.1321805,298,345,0.1631,Ca9LaP5SiO24Cl2Eu0.3
41,24,0.09,23.91,162,63,8,55,378.330908,151.964,15.999,135.965,730,215,60,155,7.59,3.44,0,3.44,17,6,2,4,39.213276,13.618054,5.211664,8.40639,822.63,498.96,5.67,493.29,1879.658146,1223.58357,13.67676,1209.90681,4352.3,1915.65,16.65,1899,104.6099,82.56,0,82.56,192,144,0.18,143.82,435.8126349,326.833296,0.51033465,326.3229614,298,330,0.164,Ba8.91Sc2Si6O24Eu0.09
19.07,12,0.03,11.97,247,65,8,57,579.24332,158.92535,15.999,142.92635,1115,220,60,160,8.7,3.44,0,3.44,21,6,1,5,51.75274254,13.618054,4.34066354,9.27739046,262.47,96,1.95,94.05,562.0927225,191.988,4.7677605,187.2202395,1787.65,720,5.25,714.75,52.28,41.28,0,41.28,96.14,72,0.06,71.94,217.9547429,163.416648,0.175914,163.240734,298,300,0.165,KBaSc2P3O12Eu0.04Tb0.03
7,4,0.02,3.98,161,63,8,55,373.453,151.964,15.999,135.965,750,215,60,155,7.23,3.44,0,3.44,16,6,2,4,38.7649412,13.618054,5.211664,8.40639,132.94,71.68,1.26,70.42,298.95344,175.77856,3.03928,172.73928,754.9,275.2,3.7,271.5,17.4992,13.76,0,13.76,32,24,0.04,23.96,73.68744526,54.472216,0.1134077,54.3588083,298,390,0.165,Ba1.28Ca0.7SiO4Eu0.02
