Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Thermal quenching temp. (K),Formula
20,12,0.03,11.97,188,71,8,63,435.3978,174.9668,15.999,158.9678,860,185,60,125,8.65,3.44,0,3.44,18,6,2,4,46.6253832,13.618054,5.425871,8.192183,325.29,142,1.89,140.11,718.22118,349.9336,4.55892,345.37468,1880.15,720,5.55,714.45,52.57,41.28,0,41.28,94,72,0.06,71.94,220.1157811,163.416648,0.17011155,163.2465365,365,393,Lu2Ca0.97Mg2Si3O12Eu0.03
20,12,0.01,11.99,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,348.07,167.44,0.63,166.81,776.212956,410.60773,1.51964,409.08809,2064.7,720,1.85,718.15,52.3311,41.28,0,41.28,96,72,0.02,71.98,220.970104,163.416648,0.05670385,163.3599442,365,400,Ba2.99CaKP3O12Eu0.01
13,5,0.01,4.99,214,71,7,64,499.6233385,174.9668,14.007,160.9598,920,200,60,140,11.94,3.44,0,3.44,24,6,2,4,59.0807586,14.53413,5.425871,9.108259,214.25,71,0.63,70.37,475.396317,174.9668,1.51964,173.44716,1289.85,325,1.85,323.15,31.0405,15.2,0,15.2,55,25,0.02,24.98,139.3021542,72.67065,0.05670385,72.61394615,365,423,Sr0.99LuAl2Si2O2N5Eu0.01
13,8,0.01,7.99,162,63,8,55,376.341762,151.964,15.999,135.965,740,215,60,155,7.52,3.44,0,3.44,17,6,2,4,41.0999442,13.618054,5.211664,8.40639,226.43,112,0.63,111.37,505.790384,274.654,1.51964,273.13436,1290.05,480,1.85,478.15,34.67,27.52,0,27.52,64,48,0.02,47.98,146.4498595,108.944432,0.05670385,108.8877282,365,436,Ba2Ca0.99P2O8Eu0.01
28.94,18,0.02,17.98,135,63,8,55,302.2725825,151.964,15.999,135.965,770,185,60,125,9.81,3.44,0,3.44,24,7,2,5,48.5061434,13.618054,5.670385,7.947669,290.82,144,1,143,587.2633558,287.982,2.19752176,285.7844782,2421.3,1080,3.7,1076.3,80.3848,61.92,0,61.92,144.08,108,0.04,107.96,324.6121508,245.124972,0.1134077,245.0115643,365,438,Mg1.88Al4Si5O18Eu0.02Mn0.04
28.04,16,0.04,15.96,117,63,8,55,260.431,151.964,15.999,135.965,685,185,60,125,7.65,3.44,0,3.44,16,6,2,4,41.1995122,13.618054,5.670385,7.947669,338.52,140,2.52,137.48,679.25356,280.546,6.07856,274.46744,2817.4,1260,7.4,1252.6,70.95,55.04,0,55.04,128.08,96,0.08,95.92,301.1607328,217.888864,0.2268154,217.6620486,365,448,Ca7MgSi4O16Eu0.04
28.98,18,0.02,17.98,110,63,8,55,247.3345385,151.964,15.999,135.965,630,185,60,125,8.26,3.44,0,3.44,17,6,2,4,41.0721254,13.618054,5.670385,7.947669,290.78,144,1.26,142.74,587.010234,287.982,3.03928,284.94272,2427.7,1080,3.7,1076.3,80.4276,61.92,0,61.92,143.96,108,0.04,107.96,324.9264889,245.124972,0.1134077,245.0115643,365,448,Mg1.96Al4Si5O18Eu0.02
13,5,0.01,4.99,232,71,7,64,549.3303385,174.9668,14.007,160.9598,935,215,60,155,11.88,3.44,0,3.44,24,6,2,4,58.5975554,14.53413,5.211664,9.322466,232.07,71,0.63,70.37,524.606247,174.9668,1.51964,173.44716,1304.7,325,1.85,323.15,30.9811,15.2,0,15.2,55,25,0.02,24.98,138.823783,72.67065,0.05670385,72.61394615,365,461,Ba0.99LuAl2Si2O2N5Eu0.01
13.07,8,0.07,7.93,129,63,8,55,286.0973078,151.964,15.999,135.965,840,185,60,125,8.88,3.44,0,3.44,18,6,1,5,44.6781223,13.618054,5.1390767,8.4789773,139.69,64,3.74,60.26,283.4057355,127.992,7.816521555,120.1754784,1137.85,480,12.95,467.05,35.6148,27.52,0,27.52,64.14,48,0.14,47.86,144.1346412,108.944432,0.39692695,108.5475051,365,473,Na0.34Ca0.66Al1.66Si2.34O8Eu0.07
21.03,12,0.03,11.97,183,63,8,55,417.4507744,151.964,15.999,135.965,955,200,50,150,12.71,3.98,0,3.98,26,7,1,6,64.2491489,17.42282,5.1390767,12.2837433,315.89,114,1.89,112.11,683.2222184,262.86,4.55892,258.30108,2035.55,720,5.55,714.45,56.83,41.28,0,41.28,104.06,72,0.06,71.94,240.9105759,163.416648,0.17011155,163.2465365,365,480,Sr3NaYP3O12FEu0.03
